"OUT_Id"	"g406"	"g407"	"g408"	"g409"	"g410"	"g416"	"g417"	"g418"	"g419"	"g420"	"g426"	"g427"	"g428"	"g429"	"g430"	"g436"	"g437"	"g438"	"g439"	"g440"	"g446"	"g447"	"g448"	"g449"	"g450"	"superkingdom"	"phylum"	"class"	"order"	"family"	"genus"	"species"
"55"	"OTU60"	24066	22195	8438	31132	17173	69911	20764	22412	69535	41336	8499	4481	8943	18965	20844	7467	18719	9602	8904	36394	15231	16800	7279	10422	15485	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"Anaerolineales"	"Anaerolineaceae"	NA	"Unassigned"
"56"	"OTU61"	339014	340222	358437	758313	303209	368569	279213	121425	159204	339183	52384	34923	121344	45947	62222	51644	64809	36239	11974	54358	26769	53200	28805	35311	34289	"Bacteria"	"Actinobacteria"	"Actinobacteria"	NA	NA	NA	"Unassigned"
"57"	"OTU62"	14910	70931	11406	172933	2815	559	0	0	2788	0	0	0	0	308	0	0	0	0	0	0	0	0	0	156	0	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Unassigned"	"Unassigned"	"Unassigned"
"58"	"OTU63"	23281	13193	11719	15225	18863	9881	3618	3070	3872	8306	7108	21788	63987	7555	8711	6844	4562	4027	1996	2633	3077	5133	10221	8244	9323	"Archaea"	"Thaumarchaeota"	NA	"Nitrososphaerales"	"Nitrososphaeraceae"	"Nitrososphaera"	"Unassigned"
"59"	"OTU64"	158782	24989	11875	466986	238176	313014	54112	95789	69071	176159	81589	49294	28216	85264	51644	26600	42157	25398	16272	14403	146923	250133	100354	164578	167336	"Bacteria"	"Acidobacteria"	"Acidobacteria_Gp22"	NA	NA	"Gp22"	"uncultured_Acidobacteria_bacterium"
"60"	"OTU65"	785	3880	2031	3181	5912	0	157	0	0	386	0	0	617	0	0	0	0	0	0	0	0	778	465	622	0	"Bacteria"	"Planctomycetes"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"Pirellula"	"uncultured_Planctomycetacia_bacterium"
"61"	"OTU66"	9940	597251	77188	2954	2815	10626	92494	1382	13783	5602	464	155	617	308	778	1400	26270	18584	921	38717	615	156	0	0	158	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	NA	NA	NA	"Unassigned"
"62"	"OTU67"	285651	38647	33281	135437	408221	1906419	417326	669452	212168	1019868	204283	76490	65991	35000	237844	14622	21236	35929	1842	10686	423846	746667	177942	259933	221377	"Bacteria"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriales"	"Chitinophagaceae"	"Terrimonas"	"Unassigned"
"63"	"OTU68"	311548	90488	13438	170887	1148367	3669288	1444989	1006404	776814	1261120	740331	342737	288943	297423	368200	147778	221798	419845	86425	87965	388769	670289	262190	439444	467878	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"64"	"OTU69"	1866671	605632	393594	977149	3389358	892247	78180	52193	63650	761810	611921	748830	647731	81872	186667	31422	25169	11925	1996	2323	116154	122733	63186	198178	366749	"Bacteria"	"Acidobacteria"	"Acidobacteria_Gp4"	NA	NA	"Gp4"	"Unassigned"
"65"	"OTU70"	68535	186408	166719	876934	99381	50522	20135	15044	36858	97544	27969	28278	147247	30374	45578	22400	17303	15487	9057	15642	8769	25356	13783	13844	20384	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Gaiellales"	"Gaiellaceae"	"Gaiella"	"uncultured_Conexibacter_sp."
"66"	"OTU71"	87631	41752	53281	117258	141610	228002	121596	147061	136438	191225	92097	113885	127974	38238	52422	7311	25011	9292	461	3562	63231	45111	37323	56778	77111	"Bacteria"	"Armatimonadetes"	"Chthonomonadetes"	"Chthonomonadales"	"Chthonomonadaceae"	"Chthonomonas/Armatimonadetes_gp3"	"uncultured_actinobacterium"
"67"	"OTU72"	523	466	625	0	845	559	157	0	155	1159	0	0	2467	0	156	0	0	0	0	0	0	156	0	156	790	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae_1"	"Bacillus"	"Unassigned"
"68"	"OTU73"	403626	331685	506406	638556	800676	862792	203079	165943	177788	439238	292362	414901	402731	126740	254800	29711	61506	90288	12127	10376	279692	270978	149292	291667	311445	"Bacteria"	"Verrucomicrobia"	"Opitutae"	"Opitutales"	"Opitutaceae"	"Opitutus"	"uncultured_Opitutaceae_bacterium"
"69"	"OTU74"	345292	134257	94062	357682	518018	75317	127573	42368	27257	105657	19470	24570	127974	29604	35933	28467	62292	12854	8443	27412	26769	63467	39027	34689	61151	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Micromonosporaceae"	"Virgisporangium"	"uncultured_Virgisporangium_sp."
"70"	"OTU75"	671751	302816	278750	697412	1340653	966073	467034	316228	209071	751187	620574	764128	975066	235286	285444	106556	198202	201018	65088	29270	235846	198178	211704	398222	383815	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	NA	NA	NA	"Unassigned"
"71"	"OTU76"	192788	710089	536406	476531	22523	214020	143775	119583	285420	275828	43576	32759	71696	109780	100178	88511	103978	74801	55877	161372	84923	119778	146814	100022	122619	"Bacteria"	"Chloroflexi"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
