"OUT_Id"	"g411"	"g412"	"g413"	"g414"	"g415"	"g421"	"g422"	"g423"	"g424"	"g425"	"g431"	"g432"	"g433"	"g434"	"g435"	"g441"	"g442"	"g443"	"g444"	"g445"	"g451"	"g452"	"g453"	"g454"	"g455"	"superkingdom"	"phylum"	"class"	"order"	"family"	"genus"	"species"
"85"	"OTU99"	16918	83814	27785	35000	29754	8673	3118	6921	52619	8190	53739	48921	4615	23438	27692	363	2483	835	0	1763	2022	2013	52	729	127	"Bacteria"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriales"	"Chitinophagaceae"	"Flavisolibacter"	"Unassigned"
"86"	"OTU100"	4191	6829	1382	4298	2819	619	1767	629	474	309	1549	1573	615	5191	462	0	103	0	0	0	0	310	0	0	0	"Bacteria"	"Acidobacteria"	"Acidobacteria_Gp4"	NA	NA	"Unassigned"	"Unassigned"
"87"	"OTU101"	8847	46718	3531	15044	23020	7588	3274	2989	4108	12517	15332	5820	5077	5506	15077	104	1035	209	208	622	1400	619	155	104	508	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Unassigned"	"Unassigned"	"Unassigned"
"88"	"OTU102"	22350	55255	28246	84583	68121	24469	5197	38382	40926	58874	9912	3933	5385	4719	11231	259	1604	209	415	2126	5289	6659	52	1666	2922	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhodobiaceae"	NA	"uncultured_Methylocystaceae_bacterium"
"89"	"OTU103"	143880	268514	208465	215833	184161	270398	55709	341348	263093	403620	387168	335528	104154	155573	160462	68548	101146	48483	8098	72541	120556	177942	32227	210011	78131	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"Anaerolineales"	"Anaerolineaceae"	NA	"Unassigned"
"90"	"OTU104"	466	1086	0	768	157	0	0	0	0	0	2168	944	462	1101	308	0	0	0	0	0	0	0	0	0	0	"Bacteria"	"Chloroflexi"	"Chloroflexia"	"Kallotenuales"	"Kallotenuaceae"	"Kallotenue"	"unidentified_bacterium"
"91"	"OTU105"	0	0	0	0	0	0	0	0	316	0	155	472	0	0	154	0	0	0	0	0	0	0	0	0	0	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Kineosporiaceae"	"Kineosporia"	"Unassigned"
"92"	"OTU106"	243370	793437	358289	443947	693579	211858	37313	234067	260564	367925	107633	100045	80615	33034	79231	23800	58980	28808	9136	86904	61133	37013	15778	67766	53612	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Acidimicrobiales"	"Unassigned"	"Unassigned"	"Unassigned"
"93"	"OTU107"	155	1086	307	614	1723	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Myxococcales"	"Unassigned"	"Unassigned"	"Unassigned"
"94"	"OTU108"	0	931	0	307	626	0	104	157	0	0	155	0	0	0	615	0	0	0	0	0	0	0	0	0	0	"Bacteria"	"Chloroflexi"	"Chloroflexia"	"Kallotenuales"	"Kallotenuaceae"	"Kallotenue"	"uncultured_soil_bacterium"
